"","pvalue","ARI","Gene","TruePvalue","Clustering","Thinning","GeneSymbol"
"33",3.9171347383036e-76,0.604832697394472,"ENSG00000197756",6.58327000208624e-162,"Univariate","Conditional","RPL37A"
"34",4.84996643090981e-07,0.120272805504954,"ENSG00000198888",1.97545625975355e-82,"Univariate","Conditional","ND1"
"35",0.836094027649,0.0323064113228651,"ENSG00000245532",3.99898784155317e-38,"Univariate","Conditional","NEAT1"
"36",1.07050607996083e-39,0.328494039957398,"ENSG00000172232",3.20782098551855e-138,"Univariate","Conditional","AZU1"
"37",2.10694210991423e-77,0.641091737986057,"ENSG00000108107",1.40265789376945e-162,"Univariate","Conditional","RPL28"
"38",6.90283162131197e-67,0.572429945786154,"ENSG00000140988",1.20909389137118e-162,"Univariate","Conditional","RPS2"
"39",3.66453384305174e-68,0.60516832620834,"ENSG00000213741",2.66881875025134e-158,"Univariate","Conditional","RPS29"
"40",3.6524450219068e-76,0.581283821219284,"ENSG00000145592",4.7933032107241e-158,"Univariate","Conditional","RPL37"
"41",1.04591169051086e-73,0.613956338316837,"ENSG00000198918",1.86711138551233e-159,"Univariate","Conditional","RPL39"
"42",0.0864154444910805,0.0265499132666677,"ENSG00000170345",7.53056488191144e-59,"Univariate","Conditional","FOS"
"43",6.57283414183774e-17,0.264593431073805,"ENSG00000198763",4.25656842121685e-101,"Univariate","Conditional","ND2"
"44",3.42775044969014e-77,0.575723566689686,"ENSG00000164587",1.05793016435503e-159,"Univariate","Conditional","RPS14"
"45",1.42774467456006e-18,0.316574767971211,"ENSG00000087086",1.70523869256285e-129,"Univariate","Conditional","FTL"
"46",1.22608455329484e-55,0.530132430232404,"ENSG00000142541",1.33799776713978e-158,"Univariate","Conditional","RPL13A"
"47",7.21317976628074e-99,0.647275469689044,"ENSG00000105372",2.9360652093821e-166,"Univariate","Conditional","RPS19"
"48",7.02470895764376e-12,0.14024804392397,"ENSG00000198727",1.00736503396197e-74,"Univariate","Conditional","CYTB"
"49",1.13584069826438e-71,0.592832287746445,"ENSG00000186468",5.93738495778391e-157,"Univariate","Conditional","RPS23"
"50",4.47822469529033e-78,0.632374892124343,"ENSG00000177600",6.76256887845491e-162,"Univariate","Conditional","RPLP2"
"51",3.01730255659394e-79,0.610866060625125,"ENSG00000138326",6.09512618030956e-163,"Univariate","Conditional","RPS24"
"52",0.465288688153072,0.00166450010224073,"ENSG00000205542",3.41293614305953e-18,"Univariate","Conditional","TMSB4X"
"53",3.84409152573592e-73,0.587250579902352,"ENSG00000147403",5.98414510557238e-160,"Univariate","Conditional","RPL10"
"54",1.44121268838342e-98,0.6594724845582,"ENSG00000034510",1.16392333549177e-164,"Univariate","Conditional","TMSB10"
"55",8.27315425288636e-93,0.662834714787492,"ENSG00000144713",3.79530358816637e-165,"Univariate","Conditional","RPL32"
"56",3.35504175205873e-89,0.656348397332077,"ENSG00000108298",1.63628385507489e-164,"Univariate","Conditional","RPL19"
